|income_band  |date      |death_rate   |
|High Income  |2020-01-24|6.3604240283 |
|Middle Income|2020-01-24|3.3582089552 |
|Low Income   |2020-01-24|             |
|High Income  |2020-01-25|6.3604240283 |
|Middle Income|2020-01-25|3.3582089552 |
|Low Income   |2020-01-25|             |
|High Income  |2020-01-26|3.3146478187 |
|Middle Income|2020-01-26|2.9309488326 |
|Low Income   |2020-01-26|0            |
|High Income  |2020-01-27|3.3146478187 |
|Middle Income|2020-01-27|2.9309488326 |
|Low Income   |2020-01-27|0            |
|High Income  |2020-01-28|3.3146478187 |
|Middle Income|2020-01-28|2.9309488326 |
|Low Income   |2020-01-28|0            |
|High Income  |2020-01-29|3.3146478187 |
|Middle Income|2020-01-29|2.9309488326 |
|Low Income   |2020-01-29|0            |
|High Income  |2020-01-30|3.3146478187 |
|Middle Income|2020-01-30|2.9309488326 |
|Low Income   |2020-01-30|0            |
|High Income  |2020-01-31|3.3146478187 |
|Middle Income|2020-01-31|2.9309488326 |
|Low Income   |2020-01-31|0            |
|High Income  |2020-02-01|3.3146478187 |
|Middle Income|2020-02-01|2.9309488326 |
|Low Income   |2020-02-01|0            |
|Low Income   |2020-02-02|6.6666666667 |
|High Income  |2020-02-02|2.606586499  |
|Middle Income|2020-02-02|2.5259312864 |
|Low Income   |2020-02-03|6.6666666667 |
|High Income  |2020-02-03|2.606586499  |
|Middle Income|2020-02-03|2.5259312864 |
|Low Income   |2020-02-04|6.6666666667 |
|High Income  |2020-02-04|2.606586499  |
|Middle Income|2020-02-04|2.5259312864 |
|Low Income   |2020-02-05|6.6666666667 |
|High Income  |2020-02-05|2.606586499  |
|Middle Income|2020-02-05|2.5259312864 |
|Low Income   |2020-02-06|6.6666666667 |
|High Income  |2020-02-06|2.606586499  |
|Middle Income|2020-02-06|2.5259312864 |
|Low Income   |2020-02-07|6.6666666667 |
|High Income  |2020-02-07|2.606586499  |
|Middle Income|2020-02-07|2.5259312864 |
|Low Income   |2020-02-08|6.6666666667 |
|High Income  |2020-02-08|2.606586499  |
|Middle Income|2020-02-08|2.5259312864 |
|Low Income   |2020-02-09|3.4482758621 |
|High Income  |2020-02-09|2.4596035979 |
|Middle Income|2020-02-09|2.4339415961 |
|Low Income   |2020-02-10|3.4482758621 |
|High Income  |2020-02-10|2.4596035979 |
|Middle Income|2020-02-10|2.4339415961 |
|Low Income   |2020-02-11|3.4482758621 |
|High Income  |2020-02-11|2.4596035979 |
|Middle Income|2020-02-11|2.4339415961 |
|Low Income   |2020-02-12|3.4482758621 |
|High Income  |2020-02-12|2.4596035979 |
|Middle Income|2020-02-12|2.4339415961 |
|Low Income   |2020-02-13|3.4482758621 |
|High Income  |2020-02-13|2.4596035979 |
|Middle Income|2020-02-13|2.4339415961 |
|Low Income   |2020-02-14|3.4482758621 |
|High Income  |2020-02-14|2.4596035979 |
|Middle Income|2020-02-14|2.4339415961 |
|Low Income   |2020-02-15|3.4482758621 |
|High Income  |2020-02-15|2.4596035979 |
|Middle Income|2020-02-15|2.4339415961 |
|Low Income   |2020-02-16|3.125        |
|High Income  |2020-02-16|2.5906361331 |
|Middle Income|2020-02-16|2.5774394142 |
|Low Income   |2020-02-17|3.125        |
|High Income  |2020-02-17|2.5906361331 |
|Middle Income|2020-02-17|2.5774394142 |
|Low Income   |2020-02-18|3.125        |
|High Income  |2020-02-18|2.5906361331 |
|Middle Income|2020-02-18|2.5774394142 |
|Low Income   |2020-02-19|3.125        |
|High Income  |2020-02-19|2.5906361331 |
|Middle Income|2020-02-19|2.5774394142 |
|Low Income   |2020-02-20|3.125        |
|High Income  |2020-02-20|2.5906361331 |
|Middle Income|2020-02-20|2.5774394142 |
|Low Income   |2020-02-21|3.125        |
|High Income  |2020-02-21|2.5906361331 |
|Middle Income|2020-02-21|2.5774394142 |
|Low Income   |2020-02-22|3.125        |
|High Income  |2020-02-22|2.5906361331 |
|Middle Income|2020-02-22|2.5774394142 |
|Middle Income|2020-02-23|3.1675547661 |
|High Income  |2020-02-23|3.1538100613 |
|Low Income   |2020-02-23|3.125        |
|Middle Income|2020-02-24|3.1675547661 |
|High Income  |2020-02-24|3.1538100613 |
|Low Income   |2020-02-24|3.125        |
|Middle Income|2020-02-25|3.1675547661 |
|High Income  |2020-02-25|3.1538100613 |
|Low Income   |2020-02-25|3.125        |
|Middle Income|2020-02-26|3.1675547661 |
|High Income  |2020-02-26|3.1538100613 |
|Low Income   |2020-02-26|3.125        |
|Middle Income|2020-02-27|3.1675547661 |
|High Income  |2020-02-27|3.1538100613 |
|Low Income   |2020-02-27|3.125        |
|Middle Income|2020-02-28|3.1675547661 |
|High Income  |2020-02-28|3.1538100613 |
|Low Income   |2020-02-28|3.125        |
|Middle Income|2020-02-29|3.1675547661 |
|High Income  |2020-02-29|3.1538100613 |
|Low Income   |2020-02-29|3.125        |
|Middle Income|2020-03-01|3.5303545904 |
|High Income  |2020-03-01|3.3718892783 |
|Low Income   |2020-03-01|2.5641025641 |
|Middle Income|2020-03-02|3.5303545904 |
|High Income  |2020-03-02|3.3718892783 |
|Low Income   |2020-03-02|2.5641025641 |
|Middle Income|2020-03-03|3.5303545904 |
|High Income  |2020-03-03|3.3718892783 |
|Low Income   |2020-03-03|2.5641025641 |
|Middle Income|2020-03-04|3.5303545904 |
|High Income  |2020-03-04|3.3718892783 |
|Low Income   |2020-03-04|2.5641025641 |
|Middle Income|2020-03-05|3.5303545904 |
|High Income  |2020-03-05|3.3718892783 |
|Low Income   |2020-03-05|2.5641025641 |
|Middle Income|2020-03-06|3.5303545904 |
|High Income  |2020-03-06|3.3718892783 |
|Low Income   |2020-03-06|2.5641025641 |
|Middle Income|2020-03-07|3.5303545904 |
|High Income  |2020-03-07|3.3718892783 |
|Low Income   |2020-03-07|2.5641025641 |
|Low Income   |2020-03-08|4.7244094488 |
|Middle Income|2020-03-08|3.5487711233 |
|High Income  |2020-03-08|3.271638788  |
|Low Income   |2020-03-09|4.7244094488 |
|Middle Income|2020-03-09|3.5487711233 |
|High Income  |2020-03-09|3.271638788  |
|Low Income   |2020-03-10|4.7244094488 |
|Middle Income|2020-03-10|3.5487711233 |
|High Income  |2020-03-10|3.271638788  |
|Low Income   |2020-03-11|4.7244094488 |
|Middle Income|2020-03-11|3.5487711233 |
|High Income  |2020-03-11|3.271638788  |
|Low Income   |2020-03-12|4.7244094488 |
|Middle Income|2020-03-12|3.5487711233 |
|High Income  |2020-03-12|3.271638788  |
|Low Income   |2020-03-13|4.7244094488 |
|Middle Income|2020-03-13|3.5487711233 |
|High Income  |2020-03-13|3.271638788  |
|Low Income   |2020-03-14|4.7244094488 |
|Middle Income|2020-03-14|3.5487711233 |
|High Income  |2020-03-14|3.271638788  |
|Low Income   |2020-03-15|4.1441441441 |
|Middle Income|2020-03-15|3.8424395287 |
|High Income  |2020-03-15|3.7769300908 |
|Low Income   |2020-03-16|4.1441441441 |
|Middle Income|2020-03-16|3.8424395287 |
|High Income  |2020-03-16|3.7769300908 |
|Low Income   |2020-03-17|4.1441441441 |
|Middle Income|2020-03-17|3.8424395287 |
|High Income  |2020-03-17|3.7769300908 |
|Low Income   |2020-03-18|4.1441441441 |
|Middle Income|2020-03-18|3.8424395287 |
|High Income  |2020-03-18|3.7769300908 |
|Low Income   |2020-03-19|4.1441441441 |
|Middle Income|2020-03-19|3.8424395287 |
|High Income  |2020-03-19|3.7769300908 |
|Low Income   |2020-03-20|4.1441441441 |
|Middle Income|2020-03-20|3.8424395287 |
|High Income  |2020-03-20|3.7769300908 |
|Low Income   |2020-03-21|4.1441441441 |
|Middle Income|2020-03-21|3.8424395287 |
|High Income  |2020-03-21|3.7769300908 |
|High Income  |2020-03-22|4.9928139424 |
|Middle Income|2020-03-22|4.6278307195 |
|Low Income   |2020-03-22|2.4058983314 |
|High Income  |2020-03-23|4.9928139424 |
|Middle Income|2020-03-23|4.6278307195 |
|Low Income   |2020-03-23|2.4058983314 |
|High Income  |2020-03-24|4.9928139424 |
|Middle Income|2020-03-24|4.6278307195 |
|Low Income   |2020-03-24|2.4058983314 |
|High Income  |2020-03-25|4.9928139424 |
|Middle Income|2020-03-25|4.6278307195 |
|Low Income   |2020-03-25|2.4058983314 |
|High Income  |2020-03-26|4.9928139424 |
|Middle Income|2020-03-26|4.6278307195 |
|Low Income   |2020-03-26|2.4058983314 |
|High Income  |2020-03-27|4.9928139424 |
|Middle Income|2020-03-27|4.6278307195 |
|Low Income   |2020-03-27|2.4058983314 |
|High Income  |2020-03-28|4.9928139424 |
|Middle Income|2020-03-28|4.6278307195 |
|Low Income   |2020-03-28|2.4058983314 |
|High Income  |2020-03-29|6.0239884541 |
|Middle Income|2020-03-29|5.2643524047 |
|Low Income   |2020-03-29|2.6239067055 |
|High Income  |2020-03-30|6.0239884541 |
|Middle Income|2020-03-30|5.2643524047 |
|Low Income   |2020-03-30|2.6239067055 |
|High Income  |2020-03-31|6.0239884541 |
|Middle Income|2020-03-31|5.2643524047 |
|Low Income   |2020-03-31|2.6239067055 |
|High Income  |2020-04-01|6.0239884541 |
|Middle Income|2020-04-01|5.2643524047 |
|Low Income   |2020-04-01|2.6239067055 |
|High Income  |2020-04-02|6.0239884541 |
|Middle Income|2020-04-02|5.2643524047 |
|Low Income   |2020-04-02|2.6239067055 |
|High Income  |2020-04-03|6.0239884541 |
|Middle Income|2020-04-03|5.2643524047 |
|Low Income   |2020-04-03|2.6239067055 |
|High Income  |2020-04-04|6.0239884541 |
|Middle Income|2020-04-04|5.2643524047 |
|Low Income   |2020-04-04|2.6239067055 |
|High Income  |2020-04-05|7.0848468187 |
|Middle Income|2020-04-05|6.0778430087 |
|Low Income   |2020-04-05|3.904185022  |
|High Income  |2020-04-06|7.0848468187 |
|Middle Income|2020-04-06|6.0778430087 |
|Low Income   |2020-04-06|3.904185022  |
|High Income  |2020-04-07|7.0848468187 |
|Middle Income|2020-04-07|6.0778430087 |
|Low Income   |2020-04-07|3.904185022  |
|High Income  |2020-04-08|7.0848468187 |
|Middle Income|2020-04-08|6.0778430087 |
|Low Income   |2020-04-08|3.904185022  |
|High Income  |2020-04-09|7.0848468187 |
|Middle Income|2020-04-09|6.0778430087 |
|Low Income   |2020-04-09|3.904185022  |
|High Income  |2020-04-10|7.0848468187 |
|Middle Income|2020-04-10|6.0778430087 |
|Low Income   |2020-04-10|3.904185022  |
|High Income  |2020-04-11|7.0848468187 |
|Middle Income|2020-04-11|6.0778430087 |
|Low Income   |2020-04-11|3.904185022  |
|High Income  |2020-04-12|7.9336203371 |
|Middle Income|2020-04-12|6.7709227375 |
|Low Income   |2020-04-12|3.7465920084 |
|High Income  |2020-04-13|7.9336203371 |
|Middle Income|2020-04-13|6.7709227375 |
|Low Income   |2020-04-13|3.7465920084 |
|High Income  |2020-04-14|7.9336203371 |
|Middle Income|2020-04-14|6.7709227375 |
|Low Income   |2020-04-14|3.7465920084 |
|High Income  |2020-04-15|7.9336203371 |
|Middle Income|2020-04-15|6.7709227375 |
|Low Income   |2020-04-15|3.7465920084 |
|High Income  |2020-04-16|7.9336203371 |
|Middle Income|2020-04-16|6.7709227375 |
|Low Income   |2020-04-16|3.7465920084 |
|High Income  |2020-04-17|7.9336203371 |
|Middle Income|2020-04-17|6.7709227375 |
|Low Income   |2020-04-17|3.7465920084 |
|High Income  |2020-04-18|7.9336203371 |
|Middle Income|2020-04-18|6.7709227375 |
|Low Income   |2020-04-18|3.7465920084 |
|High Income  |2020-04-19|8.5407059533 |
|Middle Income|2020-04-19|7.298050327  |
|Low Income   |2020-04-19|3.9772223306 |
|High Income  |2020-04-20|8.5407059533 |
|Middle Income|2020-04-20|7.298050327  |
|Low Income   |2020-04-20|3.9772223306 |
|High Income  |2020-04-21|8.5407059533 |
|Middle Income|2020-04-21|7.298050327  |
|Low Income   |2020-04-21|3.9772223306 |
|High Income  |2020-04-22|8.5407059533 |
|Middle Income|2020-04-22|7.298050327  |
|Low Income   |2020-04-22|3.9772223306 |
|High Income  |2020-04-23|8.5407059533 |
|Middle Income|2020-04-23|7.298050327  |
|Low Income   |2020-04-23|3.9772223306 |
|High Income  |2020-04-24|8.5407059533 |
|Middle Income|2020-04-24|7.298050327  |
|Low Income   |2020-04-24|3.9772223306 |
|High Income  |2020-04-25|8.5407059533 |
|Middle Income|2020-04-25|7.298050327  |
|Low Income   |2020-04-25|3.9772223306 |
|High Income  |2020-04-26|8.6323016158 |
|Middle Income|2020-04-26|7.3402863595 |
|Low Income   |2020-04-26|3.5040584693 |
|High Income  |2020-04-27|8.6323016158 |
|Middle Income|2020-04-27|7.3402863595 |
|Low Income   |2020-04-27|3.5040584693 |
|High Income  |2020-04-28|8.6323016158 |
|Middle Income|2020-04-28|7.3402863595 |
|Low Income   |2020-04-28|3.5040584693 |
|High Income  |2020-04-29|8.6323016158 |
|Middle Income|2020-04-29|7.3402863595 |
|Low Income   |2020-04-29|3.5040584693 |
|High Income  |2020-04-30|8.6323016158 |
|Middle Income|2020-04-30|7.3402863595 |
|Low Income   |2020-04-30|3.5040584693 |
|High Income  |2020-05-01|8.6323016158 |
|Middle Income|2020-05-01|7.3402863595 |
|Low Income   |2020-05-01|3.5040584693 |
|High Income  |2020-05-02|8.6323016158 |
|Middle Income|2020-05-02|7.3402863595 |
|Low Income   |2020-05-02|3.5040584693 |
|High Income  |2020-05-03|8.5660556157 |
|Middle Income|2020-05-03|7.2972758939 |
|Low Income   |2020-05-03|3.3021777293 |
|High Income  |2020-05-04|8.5660556157 |
|Middle Income|2020-05-04|7.2972758939 |
|Low Income   |2020-05-04|3.3021777293 |
|High Income  |2020-05-05|8.5660556157 |
|Middle Income|2020-05-05|7.2972758939 |
|Low Income   |2020-05-05|3.3021777293 |
|High Income  |2020-05-06|8.5660556157 |
|Middle Income|2020-05-06|7.2972758939 |
|Low Income   |2020-05-06|3.3021777293 |
|High Income  |2020-05-07|8.5660556157 |
|Middle Income|2020-05-07|7.2972758939 |
|Low Income   |2020-05-07|3.3021777293 |
|High Income  |2020-05-08|8.5660556157 |
|Middle Income|2020-05-08|7.2972758939 |
|Low Income   |2020-05-08|3.3021777293 |
|High Income  |2020-05-09|8.5660556157 |
|Middle Income|2020-05-09|7.2972758939 |
|Low Income   |2020-05-09|3.3021777293 |
|High Income  |2020-05-10|8.3960878196 |
|Middle Income|2020-05-10|7.132800758  |
|Low Income   |2020-05-10|3.1404154046 |
|High Income  |2020-05-11|8.3960878196 |
|Middle Income|2020-05-11|7.132800758  |
|Low Income   |2020-05-11|3.1404154046 |
|High Income  |2020-05-12|8.3960878196 |
|Middle Income|2020-05-12|7.132800758  |
|Low Income   |2020-05-12|3.1404154046 |
|High Income  |2020-05-13|8.3960878196 |
|Middle Income|2020-05-13|7.132800758  |
|Low Income   |2020-05-13|3.1404154046 |
|High Income  |2020-05-14|8.3960878196 |
|Middle Income|2020-05-14|7.132800758  |
|Low Income   |2020-05-14|3.1404154046 |
|High Income  |2020-05-15|8.3960878196 |
|Middle Income|2020-05-15|7.132800758  |
|Low Income   |2020-05-15|3.1404154046 |
|High Income  |2020-05-16|8.3960878196 |
|Middle Income|2020-05-16|7.132800758  |
|Low Income   |2020-05-16|3.1404154046 |
|High Income  |2020-05-17|8.1403583088 |
|Middle Income|2020-05-17|6.9454307044 |
|Low Income   |2020-05-17|2.9355538615 |
|High Income  |2020-05-18|8.1403583088 |
|Middle Income|2020-05-18|6.9454307044 |
|Low Income   |2020-05-18|2.9355538615 |
|High Income  |2020-05-19|8.1403583088 |
|Middle Income|2020-05-19|6.9454307044 |
|Low Income   |2020-05-19|2.9355538615 |
|High Income  |2020-05-20|8.1403583088 |
|Middle Income|2020-05-20|6.9454307044 |
|Low Income   |2020-05-20|2.9355538615 |
|High Income  |2020-05-21|8.1403583088 |
|Middle Income|2020-05-21|6.9454307044 |
|Low Income   |2020-05-21|2.9355538615 |
|High Income  |2020-05-22|8.1403583088 |
|Middle Income|2020-05-22|6.9454307044 |
|Low Income   |2020-05-22|2.9355538615 |
|High Income  |2020-05-23|8.1403583088 |
|Middle Income|2020-05-23|6.9454307044 |
|Low Income   |2020-05-23|2.9355538615 |
|High Income  |2020-05-24|7.793447471  |
|Middle Income|2020-05-24|6.6685942262 |
|Low Income   |2020-05-24|2.6882327693 |
|High Income  |2020-05-25|7.793447471  |
|Middle Income|2020-05-25|6.6685942262 |
|Low Income   |2020-05-25|2.6882327693 |
|High Income  |2020-05-26|7.793447471  |
|Middle Income|2020-05-26|6.6685942262 |
|Low Income   |2020-05-26|2.6882327693 |
|High Income  |2020-05-27|7.793447471  |
|Middle Income|2020-05-27|6.6685942262 |
|Low Income   |2020-05-27|2.6882327693 |
|High Income  |2020-05-28|7.793447471  |
|Middle Income|2020-05-28|6.6685942262 |
|Low Income   |2020-05-28|2.6882327693 |
|High Income  |2020-05-29|7.793447471  |
|Middle Income|2020-05-29|6.6685942262 |
|Low Income   |2020-05-29|2.6882327693 |
|High Income  |2020-05-30|7.793447471  |
|Middle Income|2020-05-30|6.6685942262 |
|Low Income   |2020-05-30|2.6882327693 |
|High Income  |2020-05-31|7.4646824379 |
|Middle Income|2020-05-31|6.398134346  |
|Low Income   |2020-05-31|2.5602112773 |
|High Income  |2020-06-01|7.4646824379 |
|Middle Income|2020-06-01|6.398134346  |
|Low Income   |2020-06-01|2.5602112773 |
|High Income  |2020-06-02|7.4646824379 |
|Middle Income|2020-06-02|6.398134346  |
|Low Income   |2020-06-02|2.5602112773 |
|High Income  |2020-06-03|7.4646824379 |
|Middle Income|2020-06-03|6.398134346  |
|Low Income   |2020-06-03|2.5602112773 |
|High Income  |2020-06-04|7.4646824379 |
|Middle Income|2020-06-04|6.398134346  |
|Low Income   |2020-06-04|2.5602112773 |
|High Income  |2020-06-05|7.4646824379 |
|Middle Income|2020-06-05|6.398134346  |
|Low Income   |2020-06-05|2.5602112773 |
|High Income  |2020-06-06|7.4646824379 |
|Middle Income|2020-06-06|6.398134346  |
|Low Income   |2020-06-06|2.5602112773 |
|High Income  |2020-06-07|7.1123706432 |
|Middle Income|2020-06-07|6.1069938713 |
|Low Income   |2020-06-07|2.4760763078 |
|High Income  |2020-06-08|7.1123706432 |
|Middle Income|2020-06-08|6.1069938713 |
|Low Income   |2020-06-08|2.4760763078 |
|High Income  |2020-06-09|7.1123706432 |
|Middle Income|2020-06-09|6.1069938713 |
|Low Income   |2020-06-09|2.4760763078 |
|High Income  |2020-06-10|7.1123706432 |
|Middle Income|2020-06-10|6.1069938713 |
|Low Income   |2020-06-10|2.4760763078 |
|High Income  |2020-06-11|7.1123706432 |
|Middle Income|2020-06-11|6.1069938713 |
|Low Income   |2020-06-11|2.4760763078 |
|High Income  |2020-06-12|7.1123706432 |
|Middle Income|2020-06-12|6.1069938713 |
|Low Income   |2020-06-12|2.4760763078 |
|High Income  |2020-06-13|7.1123706432 |
|Middle Income|2020-06-13|6.1069938713 |
|Low Income   |2020-06-13|2.4760763078 |
|High Income  |2020-06-14|6.780830827  |
|Middle Income|2020-06-14|5.85802048   |
|Low Income   |2020-06-14|2.4459155406 |
|High Income  |2020-06-15|6.780830827  |
|Middle Income|2020-06-15|5.85802048   |
|Low Income   |2020-06-15|2.4459155406 |
|High Income  |2020-06-16|6.780830827  |
|Middle Income|2020-06-16|5.85802048   |
|Low Income   |2020-06-16|2.4459155406 |
|High Income  |2020-06-17|6.780830827  |
|Middle Income|2020-06-17|5.85802048   |
|Low Income   |2020-06-17|2.4459155406 |
|High Income  |2020-06-18|6.780830827  |
|Middle Income|2020-06-18|5.85802048   |
|Low Income   |2020-06-18|2.4459155406 |
|High Income  |2020-06-19|6.780830827  |
|Middle Income|2020-06-19|5.85802048   |
|Low Income   |2020-06-19|2.4459155406 |
|High Income  |2020-06-20|6.780830827  |
|Middle Income|2020-06-20|5.85802048   |
|Low Income   |2020-06-20|2.4459155406 |
|High Income  |2020-06-21|6.4386070315 |
|Middle Income|2020-06-21|5.6056684637 |
|Low Income   |2020-06-21|2.5553146936 |
|High Income  |2020-06-22|6.4386070315 |
|Middle Income|2020-06-22|5.6056684637 |
|Low Income   |2020-06-22|2.5553146936 |
|High Income  |2020-06-23|6.4386070315 |
|Middle Income|2020-06-23|5.6056684637 |
|Low Income   |2020-06-23|2.5553146936 |
|High Income  |2020-06-24|6.4386070315 |
|Middle Income|2020-06-24|5.6056684637 |
|Low Income   |2020-06-24|2.5553146936 |
|High Income  |2020-06-25|6.4386070315 |
|Middle Income|2020-06-25|5.6056684637 |
|Low Income   |2020-06-25|2.5553146936 |
|High Income  |2020-06-26|6.4386070315 |
|Middle Income|2020-06-26|5.6056684637 |
|Low Income   |2020-06-26|2.5553146936 |
|High Income  |2020-06-27|6.4386070315 |
|Middle Income|2020-06-27|5.6056684637 |
|Low Income   |2020-06-27|2.5553146936 |
|High Income  |2020-06-28|6.0777084643 |
|Middle Income|2020-06-28|5.3418284763 |
|Low Income   |2020-06-28|2.485208033  |
|High Income  |2020-06-29|6.0777084643 |
|Middle Income|2020-06-29|5.3418284763 |
|Low Income   |2020-06-29|2.485208033  |
|High Income  |2020-06-30|6.0777084643 |
|Middle Income|2020-06-30|5.3418284763 |
|Low Income   |2020-06-30|2.485208033  |
|High Income  |2020-07-01|6.0777084643 |
|Middle Income|2020-07-01|5.3418284763 |
|Low Income   |2020-07-01|2.485208033  |
|High Income  |2020-07-02|6.0777084643 |
|Middle Income|2020-07-02|5.3418284763 |
|Low Income   |2020-07-02|2.485208033  |
|High Income  |2020-07-03|6.0777084643 |
|Middle Income|2020-07-03|5.3418284763 |
|Low Income   |2020-07-03|2.485208033  |
|High Income  |2020-07-04|6.0777084643 |
|Middle Income|2020-07-04|5.3418284763 |
|Low Income   |2020-07-04|2.485208033  |
|High Income  |2020-07-05|5.6907726638 |
|Middle Income|2020-07-05|5.0675004888 |
|Low Income   |2020-07-05|2.4189896445 |
|High Income  |2020-07-06|5.6907726638 |
|Middle Income|2020-07-06|5.0675004888 |
|Low Income   |2020-07-06|2.4189896445 |
|High Income  |2020-07-07|5.6907726638 |
|Middle Income|2020-07-07|5.0675004888 |
|Low Income   |2020-07-07|2.4189896445 |
|High Income  |2020-07-08|5.6907726638 |
|Middle Income|2020-07-08|5.0675004888 |
|Low Income   |2020-07-08|2.4189896445 |
|High Income  |2020-07-09|5.6907726638 |
|Middle Income|2020-07-09|5.0675004888 |
|Low Income   |2020-07-09|2.4189896445 |
|High Income  |2020-07-10|5.6907726638 |
|Middle Income|2020-07-10|5.0675004888 |
|Low Income   |2020-07-10|2.4189896445 |
|High Income  |2020-07-11|5.6907726638 |
|Middle Income|2020-07-11|5.0675004888 |
|Low Income   |2020-07-11|2.4189896445 |
|High Income  |2020-07-12|5.3549405426 |
|Middle Income|2020-07-12|4.8400985709 |
|Low Income   |2020-07-12|2.3610122725 |
|High Income  |2020-07-13|5.3549405426 |
|Middle Income|2020-07-13|4.8400985709 |
|Low Income   |2020-07-13|2.3610122725 |
|High Income  |2020-07-14|5.3549405426 |
|Middle Income|2020-07-14|4.8400985709 |
|Low Income   |2020-07-14|2.3610122725 |
|High Income  |2020-07-15|5.3549405426 |
|Middle Income|2020-07-15|4.8400985709 |
|Low Income   |2020-07-15|2.3610122725 |
|High Income  |2020-07-16|5.3549405426 |
|Middle Income|2020-07-16|4.8400985709 |
|Low Income   |2020-07-16|2.3610122725 |
|High Income  |2020-07-17|5.3549405426 |
|Middle Income|2020-07-17|4.8400985709 |
|Low Income   |2020-07-17|2.3610122725 |
|High Income  |2020-07-18|5.3549405426 |
|Middle Income|2020-07-18|4.8400985709 |
|Low Income   |2020-07-18|2.3610122725 |
|High Income  |2020-07-19|5.0527610142 |
|Middle Income|2020-07-19|4.6511866266 |
|Low Income   |2020-07-19|2.308221079  |
|High Income  |2020-07-20|5.0527610142 |
|Middle Income|2020-07-20|4.6511866266 |
|Low Income   |2020-07-20|2.308221079  |
|High Income  |2020-07-21|5.0527610142 |
|Middle Income|2020-07-21|4.6511866266 |
|Low Income   |2020-07-21|2.308221079  |
|High Income  |2020-07-22|5.0527610142 |
|Middle Income|2020-07-22|4.6511866266 |
|Low Income   |2020-07-22|2.308221079  |
|High Income  |2020-07-23|5.0527610142 |
|Middle Income|2020-07-23|4.6511866266 |
|Low Income   |2020-07-23|2.308221079  |
|High Income  |2020-07-24|5.0527610142 |
|Middle Income|2020-07-24|4.6511866266 |
|Low Income   |2020-07-24|2.308221079  |
|High Income  |2020-07-25|5.0527610142 |
|Middle Income|2020-07-25|4.6511866266 |
|Low Income   |2020-07-25|2.308221079  |
|High Income  |2020-07-26|4.7784528091 |
|Middle Income|2020-07-26|4.4638513349 |
|Low Income   |2020-07-26|2.2251730737 |
|High Income  |2020-07-27|4.7784528091 |
|Middle Income|2020-07-27|4.4638513349 |
|Low Income   |2020-07-27|2.2251730737 |
|High Income  |2020-07-28|4.7784528091 |
|Middle Income|2020-07-28|4.4638513349 |
|Low Income   |2020-07-28|2.2251730737 |
|High Income  |2020-07-29|4.7784528091 |
|Middle Income|2020-07-29|4.4638513349 |
|Low Income   |2020-07-29|2.2251730737 |
|High Income  |2020-07-30|4.7784528091 |
|Middle Income|2020-07-30|4.4638513349 |
|Low Income   |2020-07-30|2.2251730737 |
|High Income  |2020-07-31|4.7784528091 |
|Middle Income|2020-07-31|4.4638513349 |
|Low Income   |2020-07-31|2.2251730737 |
|High Income  |2020-08-01|4.7784528091 |
